RecordID,Age,Gender,City
BOZ1065,31,Male,Berlin
ASN481,30,Male,Munich
AFS148,35,Male,Frankfurt
AZP665,32,Male,Berlin
BAN689,34,Male,Berlin
BCA728,43,Male,Berlin
BDB755,24,Female,Prague
BPK1076,24,Male,Moscow
BCK738,30,Male,Berlin
BUQ1212,30,Female,Berlin
ACX75,30,Male,Berlin
AGA156,33,Male,Munich
AZI658,31,Male,Berlin
BCR745,35,Male,Berlin
BEU800,37,Male,Munich
BAY700,32,Male,Berlin
ANM350,22,Male,Warsaw
API398,32,Female,Cologne
AFR147,31,Female,Munich
AUU540,26,Male,Berlin
AKY284,42,Male,Berlin
AJA234,25,Male,Munich
AMV333,31,Male,Moscow
BLN975,30,Male,Berlin
BCE732,36,Male,Munich
BRB1119,31,Male,Frankfurt
BIL895,39,Female,Stuttgart 
BEN793,32,Male,Berlin
ASZ493,35,Male,Munich
BAD679,25,Male,Berlin
ACR69,28,Male,Berlin
AGQ172,29,Male,Berlin
AQZ441,32,Male,Berlin
AMR329,33,Male,Hamburg
AYB625,33,Male,Berlin
BUM1208,36,Male,Stuttgart
AOB365,,Male,Berlin
ALF291,34,Male,Berlin
APT409,24,Male,Frankfurt
AWQ588,32,Male,Hamburg
AKW282,33,Female,Munich
BSA1144,33,Male,Berlin
AQQ432,27,Male,Berlin
BPC1068,36,Male,Prefer not to say
BQS1110,31,Male,Berlin
BBW724,32,Male,Munich
AQH423,39,Male,Berlin
BVP1237,37,Male,Berlin
ALV307,34,Male,Berlin
BTP1185,29,Female,Berlin
AGU176,33,Male,Berlin
BBV723,33,Male,Dusseldorf
ACB53,32,Male,Berlin
BJG916,27,Male,Berlin
AYM636,33,Male,Berlin
AHQ198,35,Female,Berlin
BKM948,31,Male,Munich
ATX517,35,Male,Frankfurt
BVD1225,24,Male,Berlin
ABC28,,Male,Berlin
AWS590,29,Male,Stuttgart 
BLL973,23,Male,"NJ, USA"
ATK504,31,Male,Berlin
AHR199,32,Male,Munich
BID887,31,Male,Berlin
BKW958,36,Male,Zurich
AEB105,36,Male,Berlin
BNC1016,31,Male,Munich
BKL947,27,Male,Rome
BFM818,46,Male,Stuttgart
BHK868,35,Female,Berlin
BRJ1127,35,Male,Duesseldorf
BRV1139,32,Male,Berlin
ABL37,30,Male,Berlin
ATC496,31,Male,Berlin
ACS70,29,Male,Konstanz area
BPH1073,37,Male,Berlin
ANG344,26,Male,Frankfurt
APL401,39,Male,Stuttgart
ATN507,36,Male,Berlin
AWJ581,22,Female,Berlin
AEG110,33,Male,Frankfurt
ACV73,29,Male,Munich
BOR1057,36,Male,Bonn
BHF863,42,Male,Berlin
BNA1014,32,Female,Heidelberg 
AOE368,31,Male,Munich
AHY206,25,Male,Berlin
BHU878,29,Male,Milan
AYR641,32,Male,Berlin
BMO1002,26,Female,Berlin
AJZ259,35,Male,Frankfurt
BQD1095,28,Female,Berlin
AYL635,33,Male,Berlin
AXQ614,31,Male,Berlin
AVR563,30,Female,Berlin
ACC54,44,Male,Berlin
BQH1099,22,Male,Frankfurt
BFU826,42,Male,Berlin
BIT903,30,Female,Munich
AAQ16,29,Male,Hamburg
AIQ224,35,Male,Berlin
BUE1200,30,Male,Berlin
ABW48,38,Female,Berlin
AGN169,46,Male,Munich
AJE238,30,Male,Munich
AVL557,35,Male,Berlin
BRI1126,35,Male,Darmstadt
BSQ1160,30,Male,Berlin
BGF837,26,Male,Munich
BAR693,36,Male,Berlin
BOM1052,22,Female,Eindhoven
ALG292,45,Male,Berlin
APZ415,30,Male,Kiev
BSR1161,30,Female,Hamburg
ALH293,34,Male,Berlin
AJN247,37,Male,Berlin
BFP821,35,Male,Berlin
AWY596,31,Male,Berlin
ATQ510,27,Female,Munich
BJX933,33,Female,Brunswick
BMY1012,26,Male,Munich
AKV281,28,Male,Berlin
AFF135,37,Male,Berlin
BHI866,29,Female,Berlin
AHF187,46,Male,Munich
AFB131,34,Male,Munich
APY414,33,Male,Berlin
AHN195,36,Male,Munich
BSG1150,28,Male,Brussels
AXG604,41,Male,Berlin
BOA1040,26,Female,Prague
BPV1087,25,Male,Cologne
BTB1171,32,Male,Berlin
AOL375,33,Male,Berlin
ARQ458,28,Male,Kyiv
AWT591,32,Female,Berlin
ABF31,31,Male,Berlin
BQV1113,32,Male,Munich
AJO248,38,Male,Frankfurt
AKC262,37,Male,Berlin
AUC522,28,Male,Berlin
AGL167,28,Male,Moldova
AQW438,29,Male,Berlin
APN403,50,Male,Berlin
BUL1207,31,Male,Berlin
BVW1244,32,Male,Munich
BJJ919,32,Male,Munich
BIH891,34,Male,Berlin
AWH579,26,Female,Berlin
ADO92,35,Female,Berlin
ANB339,28,Male,Munich
ACF57,33,Male,Munich
BIC886,36,Male,Frankfurt
AAG6,37,Male,Berlin
AVG552,31,Male,Berlin
AES122,28,Male,Berlin
AVY570,22,Male,Berlin
AZV671,33,Male,Hamburg
ADX101,31,Male,Munich
BLR979,48,Male,Madrid
AKS278,27,Male,Berlin
AXI606,33,Male,Berlin
BLQ978,30,Male,Frankfurt
APE394,33,Male,Berlin
APW412,37,Female,Berlin
BIK894,39,Male,Düsseldorf 
BRA1118,30,Male,Munich
AJB235,32,Male,Berlin
BAB677,28,Male,Munich
AVD549,34,Male,Munich
BLY986,27,Male,Berlin
BGH839,26,Male,Eindhoven
BVZ1247,34,Male,Zurich
AQE420,31,Female,Munich
BDW776,26,Male,Berlin
BUI1204,35,Male,Ingolstadt
AFI138,34,Male,Berlin
APK400,23,Male,Berlin
BQT1111,30,Male,Cologne
BVY1246,38,Male,Berlin
BJR927,25,Male,Stuttgart
AEO118,28,Male,Cologne
AZY674,35,Male,Berlin
BLW984,29,Male,Berlin
AGC158,27,Male,Munich
ADY102,38,Female,Munich
AZM662,40,Male,Berlin
BUX1219,26,Male,Munich
BBI710,35,Male,Berlin
BAQ692,33,Male,Berlin
BNQ1030,25,Male,Brussels 
APF395,35,Male,Berlin
BSY1168,40,Male,Berlin
BVM1234,26,Male,Saint-Petersburg
AER121,32,Female,Kempten
AIH215,34,Male,Berlin
AWC574,38,Male,Berlin
BKP951,29,Male,Berlin
AID211,34,Male,Munich
ASJ477,38,Male,Munich
ABG32,29,Female,Berlin
AOP379,32,Male,Berlin
BLF967,29,Male,Basel
BKA936,36,Male,Zurich
AIM220,36,Male,Berlin
BIP899,35,Male,Berlin
AKU280,33,Male,Frankfurt
ARE446,34,Female,Berlin
AIJ217,27,Male,Berlin
AFE134,40,Male,Berlin
